s 786, a 0.94 
s 787, a 0.94 
s 788, a 0.94 
s 789, a 0.96 
s 790, a 0.9 
s 791, a 0.96 
s 792, a 1 
s 793, a 0.92 
s 794, a 0.98 
s 795, a 1 
s 796, a 1 
s 797, a 0.98 
s 798, a 0.96 
s 799, a 0.98 
s 800, a 0.9 
s 801, a 0.98 
s 802, a 0.94 
s 803, a 0.96 
s 804, a 0.94 
s 805, a 0.98 
s 806, a 0.98 
s 807, a 0.96 
s 808, a 0.92 
s 809, a 0.88 
s 810, a 0.98 
s 811, a 0.98 
s 812, a 1 
s 813, a 0.98 
s 814, a 0.92 
s 815, a 0.92 
s 816, a 0.96 
s 817, a 0.9 
s 818, a 0.84 
s 819, a 0.92 
s 820, a 0.96 
s 821, a 0.94 
s 822, a 0.94 
s 823, a 0.98 
s 824, a 0.98 
s 825, a 0.96 
s 826, a 0.94 
s 827, a 0.98 
s 828, a 0.96 
s 829, a 0.98 
s 830, a 0.94 
s 831, a 0.9 
s 832, a 0.98 
s 833, a 0.96 
s 834, a 0.94 
s 835, a 0.96 
s 836, a 0.96 
s 837, a 1 
s 838, a 0.9 
s 839, a 0.98 
s 840, a 0.96 
s 841, a 0.96 
s 842, a 0.96 
s 843, a 0.92 
s 844, a 0.94 
s 845, a 0.98 
s 846, a 0.98 
s 847, a 0.92 
s 848, a 0.92 
s 849, a 0.94 
s 850, a 0.86 
s 851, a 0.96 
s 852, a 0.94 
s 853, a 0.96 
s 854, a 0.96 
s 855, a 0.98 
s 856, a 0.98 
s 857, a 0.96 
s 858, a 0.96 
s 859, a 0.9 
s 860, a 0.94 
s 861, a 0.92 
s 862, a 0.92 
s 863, a 0.96 
s 864, a 0.94 
s 865, a 0.96 
s 866, a 0.96 
s 867, a 0.94 
s 868, a 0.98 
s 869, a 0.96 
s 870, a 0.94 
s 871, a 0.96 
s 872, a 0.98 
s 873, a 0.94 
s 874, a 0.98 
s 875, a 0.96 
s 876, a 0.92 
s 877, a 0.98 
s 878, a 0.98 
s 879, a 1 
s 880, a 0.96 
s 881, a 0.92 
s 882, a 0.92 
s 883, a 0.98 
s 884, a 0.96 
s 885, a 0.94 
s 886, a 0.88 
s 887, a 0.98 
s 888, a 0.94 
s 889, a 0.94 
s 890, a 0.94 
s 891, a 0.96 
s 892, a 0.98 
s 893, a 0.96 
s 894, a 0.96 
s 895, a 0.94 
s 896, a 0.9 
s 897, a 0.98 
s 898, a 1 
s 899, a 1 
s 900, a 0.96 
s 901, a 0.94 
s 902, a 0.98 
s 903, a 0.94 
s 904, a 0.98 
s 905, a 0.96 
s 906, a 0.94 
s 907, a 0.96 
s 908, a 0.94 
s 909, a 0.94 
s 910, a 0.96 
s 911, a 0.94 
s 912, a 0.94 
s 913, a 0.94 
s 914, a 0.92 
s 915, a 0.98 
s 916, a 0.94 
s 917, a 0.94 
s 918, a 0.98 
s 919, a 1 
s 920, a 0.98 
s 921, a 0.94 
s 922, a 0.96 
s 923, a 0.98 
s 924, a 0.94 
s 925, a 0.98 
s 926, a 0.98 
s 927, a 0.96 
s 928, a 0.92 
s 929, a 0.98 
s 930, a 0.94 
s 931, a 0.96 
s 932, a 0.98 
s 933, a 1 
s 934, a 1 
s 935, a 0.96 
s 936, a 0.96 
s 937, a 0.98 
s 938, a 0.94 
s 939, a 0.98 
s 940, a 0.96 
s 941, a 0.96 
s 942, a 0.94 
s 943, a 0.98 
s 944, a 0.96 
s 945, a 1 
s 946, a 1 
s 947, a 0.94 
s 948, a 0.94 
s 949, a 0.94 
s 950, a 0.92 
s 951, a 0.98 
s 952, a 0.96 
s 953, a 0.98 
s 954, a 0.96 
s 955, a 0.96 
s 956, a 0.92 
s 957, a 1 
s 958, a 1 
s 959, a 0.94 
s 960, a 0.96 
s 961, a 0.96 
s 962, a 0.96 
s 963, a 0.98 
s 964, a 0.92 
s 965, a 0.96 
s 966, a 0.96 
s 967, a 0.98 
s 968, a 0.92 
s 969, a 0.94 
s 970, a 0.94 
s 971, a 1 
s 972, a 0.96 
s 973, a 0.94 
s 974, a 1 
s 975, a 0.98 
s 976, a 0.96 
s 977, a 0.98 
s 978, a 0.96 
s 979, a 0.94 
s 980, a 0.94 
s 981, a 0.94 
s 982, a 0.94 
s 983, a 0.96 
s 984, a 0.98 
s 985, a 0.96 
s 986, a 0.96 
s 987, a 0.94 
s 988, a 0.96 
s 989, a 0.96 
s 990, a 0.94 
s 991, a 0.94 
s 992, a 1 
s 993, a 0.98 
s 994, a 1 
s 995, a 0.94 
s 996, a 0.98 
s 997, a 0.96 
s 998, a 0.94 
s 999, a 0.94 
s 1000, a 0.96 
s 1001, a 0.94 
s 1002, a 0.96 
s 1003, a 0.98 
s 1004, a 0.92 
s 1005, a 0.94 
s 1006, a 0.96 
s 1007, a 0.96 
s 1008, a 1 
s 1009, a 0.96 
s 1010, a 0.96 
s 1011, a 1 
s 1012, a 0.9 
s 1013, a 0.98 
s 1014, a 0.98 
s 1015, a 1 
s 1016, a 0.94 
s 1017, a 0.98 
s 1018, a 1 
s 1019, a 0.98 
s 1020, a 0.94 
s 1021, a 0.98 
s 1022, a 0.96 
s 1023, a 0.98 
s 1024, a 0.96 
s 1025, a 0.98 
s 1026, a 0.96 
s 1027, a 0.96 
s 1028, a 0.96 
s 1029, a 0.98 
s 1030, a 0.92 
s 1031, a 0.96 
s 1032, a 0.98 
s 1033, a 1 
s 1034, a 0.96 
s 1035, a 0.98 
s 1036, a 0.98 
s 1037, a 0.94 
s 1038, a 0.98 
s 1039, a 0.96 
s 1040, a 0.96 
s 1041, a 0.96 
s 1042, a 0.98 
s 1043, a 0.98 
s 1044, a 0.96 
s 1045, a 1 
s 1046, a 0.98 
s 1047, a 0.98 
s 1048, a 0.98 
s 1049, a 1 
s 1050, a 0.94 
s 1051, a 0.96 
s 1052, a 0.94 
s 1053, a 0.96 
s 1054, a 1 
s 1055, a 1 
s 1056, a 0.92 
s 1057, a 1 
s 1058, a 0.9 
s 1059, a 0.94 
s 1060, a 0.96 
s 1061, a 1 
s 1062, a 0.96 
s 1063, a 0.96 
s 1064, a 1 
